,prices,market_caps,total_volumes
2926,"[1620259200000, 47831.061167924854]","[1620259200000, 892050843018.571]","[1620259200000, 60095509519.19639]"
2927,"[1620345600000, 46834.930702231]","[1620345600000, 875901019626.7864]","[1620345600000, 72530966035.15367]"
2928,"[1620432000000, 47159.75662737094]","[1620432000000, 882027749207.803]","[1620432000000, 56033405554.59759]"
2929,"[1620518400000, 48319.24375914842]","[1620518400000, 903765212998.5938]","[1620518400000, 54929556729.38589]"
2930,"[1620604800000, 47807.663043400964]","[1620604800000, 894252185605.4019]","[1620604800000, 55767424644.64747]"
2931,"[1620691200000, 46040.61343088081]","[1620691200000, 861250355753.1274]","[1620691200000, 63147865296.59779]"
2932,"[1620777600000, 46869.6229411901]","[1620777600000, 876808784210.0197]","[1620777600000, 55759398812.12726]"
2933,"[1620864000000, 41398.24254474846]","[1620864000000, 774497695904.6652]","[1620864000000, 62525203197.927284]"
2934,"[1620950400000, 41379.873284031484]","[1620950400000, 774195704710.7549]","[1620950400000, 86285542137.50839]"
2935,"[1621036800000, 41099.72887781225]","[1621036800000, 770693219048.0884]","[1621036800000, 46787057045.10995]"
2936,"[1621123200000, 38515.79282820282]","[1621123200000, 720672119387.722]","[1621123200000, 51784447682.07248]"
2937,"[1621209600000, 38340.02021913021]","[1621209600000, 717415084418.5852]","[1621209600000, 58134580218.20428]"
2938,"[1621296000000, 36013.75689016597]","[1621296000000, 673913944297.2278]","[1621296000000, 69142870963.72931]"
2939,"[1621382400000, 35248.29953994585]","[1621382400000, 654875658043.6742]","[1621382400000, 53200060542.490036]"
2940,"[1621468800000, 30638.26648015515]","[1621468800000, 573355327429.6794]","[1621468800000, 115981204777.69472]"
2941,"[1621555200000, 33070.58223866926]","[1621555200000, 621306915136.0208]","[1621555200000, 77693906987.51302]"
2942,"[1621641600000, 30656.511792720983]","[1621641600000, 573696764735.4426]","[1621641600000, 72829231729.58504]"
2943,"[1621728000000, 30804.856177282665]","[1621728000000, 576472837044.8147]","[1621728000000, 50229007080.50435]"
2944,"[1621814400000, 28708.92522435034]","[1621814400000, 537250213970.925]","[1621814400000, 69239556581.19342]"
